                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.68003,                0.42469,                0.90693,                0.99256,                 0.9928,                0.99465,                0.88754,                0.55802,                0.22479,                0.85897,               0.006535,               0.006535,               0.006535
                     38,                0.67929,                0.42313,                0.90723,                0.99322,                0.99257,                0.99467,                0.88824,                0.55761,                0.22381,                0.85873,               0.006436,               0.006436,               0.006436
                     39,                0.67927,                0.42198,                0.90765,                0.99274,                0.99277,                 0.9947,                0.88848,                0.55733,                0.22306,                 0.8587,               0.006337,               0.006337,               0.006337
                     40,                0.67792,                0.42063,                0.90648,                0.99319,                0.99287,                0.99472,                 0.8886,                0.55728,                0.22256,                0.85856,               0.006238,               0.006238,               0.006238
                     41,                0.67629,                0.41818,                0.90612,                0.99324,                0.99333,                0.99477,                0.88839,                 0.5574,                0.22175,                0.85844,               0.006139,               0.006139,               0.006139
                     42,                 0.6755,                0.41635,                0.90513,                0.99303,                0.99349,                0.99476,                0.88935,                 0.5572,                0.22133,                0.85846,                0.00604,                0.00604,                0.00604
                     43,                0.67304,                0.41589,                0.90489,                0.99293,                0.99369,                0.99474,                 0.8897,                0.55687,                0.22084,                0.85839,               0.005941,               0.005941,               0.005941
                     44,                0.67283,                0.41431,                0.90438,                0.99372,                0.99294,                0.99474,                0.88951,                0.55656,                 0.2197,                0.85841,               0.005842,               0.005842,               0.005842
                     45,                0.67248,                0.41311,                0.90425,                0.99371,                0.99356,                0.99475,                0.88938,                0.55655,                0.21913,                0.85839,               0.005743,               0.005743,               0.005743
                     46,                 0.6722,                 0.4118,                0.90427,                0.99377,                0.99381,                0.99478,                0.88961,                0.55609,                0.21904,                0.85823,               0.005644,               0.005644,               0.005644
                     47,                0.67155,                0.41165,                0.90349,                0.99361,                0.99409,                0.99479,                0.88947,                0.55604,                0.21869,                0.85808,               0.005545,               0.005545,               0.005545
                     48,                0.67022,                0.40908,                0.90314,                0.99461,                0.99335,                0.99478,                0.88969,                 0.5558,                0.21922,                0.85786,               0.005446,               0.005446,               0.005446
                     49,                0.67065,                0.40842,                0.90343,                0.99423,                0.99329,                0.99477,                0.88946,                0.55581,                0.21862,                0.85796,               0.005347,               0.005347,               0.005347
                     50,                0.66749,                0.40583,                 0.9019,                0.99456,                0.99273,                0.99477,                0.89028,                0.55525,                0.21817,                 0.8578,               0.005248,               0.005248,               0.005248
                     51,                0.66802,                0.40573,                0.90374,                0.99478,                0.99282,                0.99479,                 0.8906,                0.55487,                0.21789,                0.85751,               0.005149,               0.005149,               0.005149
                     52,                0.66616,                0.40312,                0.90253,                0.99413,                0.99375,                0.99478,                0.89077,                0.55423,                0.21763,                0.85731,                0.00505,                0.00505,                0.00505
                     53,                0.66583,                0.40283,                0.90238,                0.99344,                 0.9944,                 0.9948,                0.89075,                0.55414,                0.21698,                 0.8573,               0.004951,               0.004951,               0.004951
                     54,                0.66501,                0.40163,                0.90185,                0.99393,                 0.9942,                0.99482,                0.89072,                0.55368,                0.21667,                0.85715,               0.004852,               0.004852,               0.004852
                     55,                0.66412,                0.40022,                 0.9019,                0.99436,                0.99407,                0.99483,                0.89084,                0.55371,                0.21653,                0.85698,               0.004753,               0.004753,               0.004753
                     56,                0.66385,                0.39773,                0.90142,                0.99448,                0.99462,                0.99483,                0.89121,                0.55326,                0.21566,                0.85685,               0.004654,               0.004654,               0.004654
                     57,                0.66239,                0.39662,                0.90106,                0.99427,                 0.9947,                0.99481,                0.89091,                0.55284,                0.21539,                0.85674,               0.004555,               0.004555,               0.004555
                     58,                0.66211,                0.39669,                0.90073,                0.99442,                0.99446,                 0.9948,                0.89129,                0.55266,                0.21555,                0.85668,               0.004456,               0.004456,               0.004456
                     59,                0.66077,                0.39404,                0.90031,                0.99404,                0.99508,                0.99479,                0.89172,                0.55238,                0.21505,                0.85662,               0.004357,               0.004357,               0.004357
                     60,                0.66041,                0.39326,                0.90097,                0.99414,                0.99443,                0.99479,                0.89123,                0.55244,                0.21453,                0.85667,               0.004258,               0.004258,               0.004258
                     61,                0.65887,                0.39307,                0.89942,                0.99381,                 0.9945,                0.99478,                0.89159,                0.55209,                0.21394,                0.85648,               0.004159,               0.004159,               0.004159
                     62,                0.65751,                0.39003,                0.89916,                0.99519,                0.99311,                0.99479,                0.89141,                0.55172,                0.21377,                0.85636,                0.00406,                0.00406,                0.00406
                     63,                0.65708,                0.38844,                0.89866,                0.99533,                0.99379,                0.99477,                0.89143,                0.55169,                0.21319,                0.85625,               0.003961,               0.003961,               0.003961
                     64,                0.65579,                0.38682,                0.89853,                0.99514,                0.99391,                0.99477,                0.89214,                0.55175,                0.21311,                0.85616,               0.003862,               0.003862,               0.003862
                     65,                0.65562,                0.38587,                0.89819,                0.99565,                0.99372,                0.99478,                0.89208,                0.55194,                 0.2127,                0.85624,               0.003763,               0.003763,               0.003763
                     66,                0.65429,                  0.386,                0.89798,                0.99539,                0.99444,                 0.9948,                 0.8922,                0.55217,                0.21279,                 0.8562,               0.003664,               0.003664,               0.003664
                     67,                0.65372,                0.38424,                0.89799,                0.99522,                0.99428,                0.99482,                0.89203,                0.55207,                0.21271,                0.85611,               0.003565,               0.003565,               0.003565
                     68,                0.65212,                0.38064,                0.89664,                0.99547,                0.99492,                0.99482,                0.89195,                  0.552,                0.21193,                0.85595,               0.003466,               0.003466,               0.003466
                     69,                0.65171,                0.37999,                0.89728,                0.99589,                0.99493,                0.99484,                0.89259,                0.55212,                0.21142,                0.85595,               0.003367,               0.003367,               0.003367
                     70,                0.64856,                0.37859,                0.89719,                0.99582,                0.99556,                0.99483,                0.89257,                0.55173,                0.21077,                0.85589,               0.003268,               0.003268,               0.003268
                     71,                0.64795,                0.37691,                0.89611,                0.99564,                0.99574,                0.99481,                0.89342,                0.55139,                0.21019,                0.85572,               0.003169,               0.003169,               0.003169
                     72,                0.64599,                0.37418,                0.89511,                  0.996,                0.99592,                0.99485,                0.89298,                0.55108,                 0.2098,                0.85568,                0.00307,                0.00307,                0.00307
